|||"board 2.54x1.54 inches"||||||
|||||||||
"Qty"|"Value"|"Device"|"Parts                             "|"qty10"|"qty10total"|"qty100"|"qty100total"||
1||"BATTERY20PTH"|"BAT1                              "|$0.57|$0.57|$0.52|$0.52||
6||"LED3MM"|"LED1, LED2, LED3, LED4, LED5, LED6"|$0.10|$0.60|$0.06|$0.37||
2|100|"RESISTORPTH1"|"R2, R3                            "|$0.02|$0.04|$0.02|$0.04||
1|"100n"|"CAPPTH_SMALL2"|"C1                                "|$0.11|$0.11|$0.08|$0.08||
1|"ATTINY45"|"ATTINY25DIP08"|"IC1                               "|$2.00|$2.00|$1.11|$1.11||
1|"CDS"|"PHOTOCELLPTH"|"PC1                               "|$1.58|$1.58|$1.15|$1.15||
|||||||||
|||"parts total"|$4.91||$3.27|||
|||||||||
|||"boards"|$23.86|$287.68|$2.98|$625.22||"pentalogix 6-day"
||||$32.31|$372.18|$4.00|$727.22||"4pcb.com 3 day (+$0 NRE)"
||||$23.42|$283.28|$3.47|$873.22||"4pcb.com 2 week (+$199 NRE)"
||||||$2.96|$822.22||"4pcb.com 4 week (+$199 NRE)"
